,48 H RT,,,,
,0,0.5,1,1.5,2
1,14.5,13.5,14.5,14.5,13
2,14,14.5,14.5,14.5,13.5
3,14,15.5,15,14.5,15
4,13.5,16.5,14,14.5,14.5
5,14.5,13,14,14.5,14.5
6,,14.5,14.5,13.5,13
7,,15,13.5,13,13.5
8,,13,14.5,14,12
9,,15,12.5,14.5,13
10,,16,13.5,14.5,14
