,RT-laser,,,,
,0,0.5,1,1.5,2
1,42,33.5,42,39,15
2,40.5,39,37.5,39,20
3,38.5,39,39.5,40.5,17
4,40.5,39.5,40.5,28,17.5
5,39,39.5,43,33.5,16.5
6,,42.5,38.5,21.5,18.5
7,,29.5,40.5,30.5,13
8,,35,38,21,13.5
9,,40.5,39.5,19,18
10,,41,38,25,14
