,RT + laser + oven,,,,
,0,0.5,1,1.5,2
1,44.5,46,46,53,54
2,44,44,47,45.5,55
3,44.5,45,49,51,53
4,44,44.5,46.5,49.5,56
5,46,45.5,48.5,54,54.5
6,,47.5,49,55.5,56
7,,47.5,38,46,57
8,,45,48,52,57
9,,42.5,50.5,55,55
10,,44.5,51,55.5,57
