,laser + RT,,,,
,0,0.5,1,1.5,2
1,15,13,21,30.5,13
2,15,12,19,29,12.5
3,14.5,11,19,30.5,12
4,18.5,12,19.5,27,13
5,18,14.5,24,35,13
6,,11,28,36,14
7,,15,23,30.5,14
8,,10,24.5,28,11.5
9,,15,28,29,13
10,,13,28.5,25,11
