,laser + RT + oven,,,,
,0,0.5,1,1.5,2
1,12,17,39.5,53,48
2,14,16.5,27,53,46.5
3,12,18.5,28.5,52,45.5
4,16,21,31.5,52,49
5,14,21,30,59,49
6,,20,32,49,50
7,,17,38,60,53
8,,21,33,56.5,44
9,,16.5,33,58.5,49
10,,24,37,60,44
