,Just Oven (above) plus laser (~23 W at ~3 cm diameter),,,,
,0,0.5,1,1.5,2
1,48,48.5,53,55.5,56
2,49.5,50,54,55,55.5
3,47.5,52,55,54.5,55
4,45.5,46.5,49.5,51.5,51
5,47.5,46.5,50,52.5,55
