sample, volume(cm3), volumeErr, density(g/cm3), densityErr
LRO top-center,0.2314,0.0007,1.1037,0.0033
LRO inner-lip,0.3444,0.0013,1.0911,0.0043
LRO top-lip,0.4273,0.0007,1.0853,0.0017
LRO bulk,0.3713,0.0022,1.0807,0.0064
RLO top-center,0.2123,0.0003,1.0722,0.0015
RLO inner-lip,0.4521,0.0018,1.0836,0.0043
RLO top-lip,0.5457,0.0018,1.0721,0.0035
RLO bulk,0.4506,0.0007,1.0801,0.0016
